PK_LOCALIDADE;customer_address_1;customer_address_2;customer_address_3;customer_address_4;address_number;region_code;region_name;city;country;state;zip_code
04d15102dddd04edab6f912bf1a166f41b8bf6399432a4409892d0f86d169827;299 East Country Road 300 South;Não informado;Não informado;Não informado;10019942;4;Central;New Castle;US;IN;47362
1349885f64a28240cac9d783ca4d6ba573387bacc2e5fdece36dc9ac030df923;1155 Mackay Street;Não informado;Não informado;Não informado;10020448;0;Canada;Regina;CA;SK;S4N 4X9
7f3a2a2482aaf30f01d0fb900590b2689d810444fda073aea77fd5c9fbee4189;Não informado;Não informado;Não informado;Não informado;10020193;5;International;Não informado;UK;Não informado;Não informado
0fa2cc9cddf347902903c0a5b8fa6e074d7d59eb2bc444727de6d510db3aa226;PO Box 20505;Não informado;Não informado;Não informado;10004256;1;Western;Portland;US;OR;97294
be76a2da937fce2e434bafffd1522aa11f667f7165f778c720de0b54a373e4b8;Avda Bdo O'Higgins;Não informado;Não informado;Não informado;10014540;5;International;1980 Santiago;UK;Não informado;Não informado
b7cad4c3f3287c5677baea32174b6803f0a03d832bffa17076da989226b4a962;6710 76 Avenue;Não informado;Não informado;Não informado;10019410;0;Canada;Edmonton;CA;AB;T6B 0A8
8e5799365c1303c6264c594d320977b800177052a933af02969b02ed7a2557c1;209 Sanford Road (Route 109);Não informado;Não informado;Não informado;10008602;3;Northeast;Wells;US;ME;4090
679d53128ffe7b3ebdfa62c63d59713566640470544263d2a5b9b2bc68e474a3;9475 192 Street;Não informado;Não informado;Não informado;10021472;0;Canada;Surrey;CA;BC;V3T 4W2
539ec8806a539be4305e4ccf9d517a01cfdfb1f94aec8bfbe9626c2716ff9f68;PO Box 5364;Não informado;Não informado;Não informado;10006093;4;Central;Evansville;US;IN;47716-5364
407b9a378544091e495541ed3f2e1ac6397da9f9a4a483f486b8b8fd9c52cc47;PO Box 10455;Não informado;Não informado;Não informado;10017576;2;Southern;New Orleans;US;LA;70181
c1cad782764b29950c67718fd589059e5543b22639bacb274f13fdd76e4106ee;Central Division;PO BOX 600;Não informado;Não informado;10023715;4;Central;Plainfield;US;IN;46168-0600
956f28b202284ffa759586ced7367a2457044725b6f33e4b8046150446b10aad;150-3 Chilkei-Dong;Não informado;Não informado;Não informado;10025052;5;International;Songtan SI;AU;Não informado;459-050
456f6683b508657184cda5d0e4d323f85a338b81dafb401855f28777bef485e1;1391 Gay Lussac;Não informado;Não informado;Não informado;10000461;0;Canada;Boucherville;CA;QU;J4B 7K1
958321d8abd7d0b7bdbaa2e9a2906b7c2049a7e1ba9c63e8610835518161b513;Plaza Venezuela 1413-1425;Não informado;Não informado;Não informado;10009650;5;International;La Paz;UK;Não informado;Não informado
2bd29430f8b2ee70d5382ad4e9dcc9ce10dbcf0518870fc1fc88bf4bfc6fd0f2;Attention  Accounts Payable Department;PO Box 12990;Não informado;Não informado;10025269;4;Central;Overland Park;US;KS;66282-2990
98ff4cce851f12c2d2e7d6b1124b98d5fc77480f333b298ee65add2b97983a34;8302 Jet Pilot;Não informado;Não informado;Não informado;10024499;2;Southern;Houston;US;TX;77075
8f32ebd5c17aa4da04e276f1c017aa79f28d0b9668f012540137c179a5114b14;2916-21st Street Northeast;Não informado;Não informado;Não informado;10014471;0;Canada;Calgary;CA;AB;T2E 6Z2
cbc0cae602f7a78934c8d98c0a6e603ffcf48367761f109f3856304d781888a2;RU-3 Hamamatsu Nishi;PO Box 1;Não informado;Não informado;10025241;5;International;Hamamatsu City;AU;Não informado;432-8611
59a81dbf534c7570e37d86ebce76b59b0dd19282cdb4739eeac773ace106da32;16215 118th Avenue;Não informado;Não informado;Não informado;10024034;0;Canada;Edmonton;CA;AB;T5V 1C7
2ceee47e891d7c9b272488c0b9cade8787db482633f4ea3f8310f3416648c0f3;Attention: Anna Markert;3111 W Allegheny Avenue;Não informado;Não informado;10015783;3;Northeast;Philadelphia;US;PA;19132
ad4e291f9f4e431c9b159baf4dce11bb58fda2b6ae2538d0f6535da84ce06065;3248 Auburn Boulevard;Não informado;Não informado;Não informado;10020192;1;Western;Sacramento;US;CA;95821
9d6170a77c51024a84d13528e5c349f47bcea2b43fae3527d8b30e78f00eaed3;Weser Ems Strasse 2-4;Não informado;Não informado;Não informado;10026081;5;International;Bremen;UK;Não informado;D-28390
ad9865b3b157f250b75f0fe582ac58bd158fc0dd902f9db55f0c045376d21039;Attention Accounts Payable Department;PO Box 12990;Não informado;Não informado;10016334;4;Central;Overland Park;US;KS;66282-2990
bfd7280c3ed70ad64488919e0433093bb85b55591d627bb11c43473d6f6f2bff;731 North Beford Road;Não informado;Não informado;Não informado;10025062;3;Northeast;Bedford Hills;US;NY;10507
6c34b35aec9dd3569a31bd949b12f7ae95768d56d7129adff6b2ef344cac8636;Attention:  Accounts Payable;300 East Norway Avenue;Não informado;Não informado;10024010;4;Central;Mitchell;US;SD;57301-7064
a66919954565376b9a440ce61f8a1ea28ffbea15c9c8edf171ab26f536b1caef;PO Box 21;Não informado;Não informado;Não informado;10025549;3;Northeast;Shady Grove;US;PA;17256-0021
fc879a066cb1d58bfe6984ac553c0c1aec3f66fe9269dfaa2885f58c1e3e2698;PO Box 174;Não informado;Não informado;Não informado;10024725;2;Southern;Jasper;US;TX;75951
25b8525d0d4d7f606e40be84d3593572fd5d5bd4d0c80e3460324b05bb4db4ba;Vehicle Operations;Building 540 53G/23/1;Banbury Road;Não informado;10004516;5;International;Lighthorne Warwick;UK;Não informado;CV35 ORG
b5a6645a2b25a3129ac3d9a057ec33e496d07ba278b8969b388ee1a56a52afd8;S Gravendam Seweg 53;Não informado;Não informado;Não informado;10014238;5;International;2215 TC Voorhout;IR;Não informado;Não informado
aa3358c49da3461a1f4985496b2ca1a8ebd1445cd8a92b409da74a00ece1dfda;PO Box 5308;Não informado;Não informado;Não informado;10025243;2;Southern;Longview;US;TX;75608
dff42a409d80c0e40a0f1ea12769cd21f0587d9317b75cbe48c4c6b9ef13f97d;5745 N Tryon Street;Não informado;Não informado;Não informado;10000475;2;Southern;Charlotte;US;NC;28213
5bea3b6443975a0871af83d9e4303188085f115a89017c35d10dd94238313a24;845 Third Street;Não informado;Não informado;Não informado;10022431;3;Northeast;Vinton;US;VA;24179
e283808936e43c27ab534986531d45415c587191bdf2519126cc1dea1e54fc65;2402 West Valley Highway North;Não informado;Não informado;Não informado;10025025;1;Western;Auburn;US;WA;98001
bba520ef3233d5a39a64003f7bf11ada22bdad5c6c2b95cd8d81bce045601ecd;2401 East 31st Street;PO Box 72638;Não informado;Não informado;10025285;2;Southern;Chattanooga;US;TN;37407
f2f83f40bd7d53f845e59a4b2369a441208c3523cee2bd219b8f867eb6129f84;PO Box 450;Não informado;Não informado;Não informado;10009656;1;Western;Trinity Center;US;CA;96091
9d38a9580a6dc5af9d3d40299a678aa53abfb1e4ff87e2011702d45520673a3b;17 Perry Road;Não informado;Não informado;Não informado;10018623;2;Southern;Laurel;US;MS;39440
f8e881e5f4384b16f99baba097ef0adc34a6b41eaca82b2d7d4368cb3ed09982;Los Angeles PDC #14;Attention   Accounts Payable;PO Box 5555;Não informado;10021203;1;Western;Costa Mesa;US;CA;92626-5555
3beb968f006c9fec82d1f914a1a314b6639a45d1d3326cb2e0064c324edbd46a;PO Box 900;Não informado;Não informado;Não informado;10022732;2;Southern;Lake Hamilton;US;FL;33851
9169ed2976a2e4ecc1fbc89e76278bd7ec43f857de7b9b2cd6abe3d4b7e881fe;Am Schwimmbad 8;Postfach 2008;Não informado;Não informado;10020181;5;International;D 95326 Kulmbach;UK;Não informado;Não informado
d740b5976704b131f5721ec614477bfc033bfd268efe90b2b6d87b1a7132ac49;22015 South I-35;Não informado;Não informado;Não informado;10007122;2;Southern;Buda;US;TX;78610
5eb00fda9822d3dc4f32ddfbbd99512df63ddf468783e941be7b45a35897e977;PO Box 568;Não informado;Não informado;Não informado;10025038;3;Northeast;Mechanicsburg;US;PA;17055
8df88cf4e64f76c5b73bb6206d49d880d95c46bd203bb66789573f845c1b31a7;207 North Scott;Não informado;Não informado;Não informado;10013509;4;Central;Joliet;US;IL;60435
d9b90742c9d3d931db39af03efd883c24147725923275141fd199a367c07810c;640 N Eldorado Street;Não informado;Não informado;Não informado;10023513;1;Western;Stockton;US;CA;95205
874b2c8c6db503298bff3cb97e64518ef15115ed0466e0e49f21cb9a768cbd6c;Attention: Accounts Payable;4900 Alliance Gateway Freeway;Não informado;Não informado;10023538;2;Southern;Fort Worth;US;TX;76177
fa2afda23d44bbb504422fe3c96614ca57ff9455dd47363bda320ae4c311480d;7225 NW 25th Street;Não informado;Não informado;Não informado;10006037;2;Southern;Miami;US;FL;33122
0fc98c65d34a6bc6631d68ac609bfee05dc1e1ae63ed1eb7afee96f3f531a3cd;Private Mail Bag 53;St Peters NSW 2044;Não informado;Não informado;10025063;5;International;Não informado;UK;Não informado;Não informado
bb380030b81a2c5d96fe261cb315381898f176223d30d79edf6f4d588a637ecd;PO Box 2187;Não informado;Não informado;Não informado;10021911;2;Southern;Tupelo;US;MS;38803-2187
b780a1edde93feab324418880f366a864b4c645e21797cd187b29808557c6a39;Unicity Distribution Systems;1445 Church Avenue;Não informado;Não informado;10016609;0;Canada;Winnepeg;CA;MB;R2X 2X9
31ada19f01944b561a5586e35387322e019a449fb5ae31d797d5572975942931;17010 S Main Street;PO Box 88;Não informado;Não informado;10010698;1;Western;Gardena;US;CA;90248
aa31d02696308e5f4f05e4c822b85feeca51bd88e76fb88e042324a69cd71389;PO Box 10361;Não informado;Não informado;Não informado;10022167;5;International;Georgetown;AU;Não informado;Não informado
def9c32cc12caadcddf8e4dae211c785ebd242f6e97de859494cc001e96ad080;Greenville PDC #23;52 Bruce Road;Não informado;Não informado;10016542;2;Southern;Greenville;US;SC;29605
d56984dd306107080aec34bccd1b7e8f7f59aa0a24baba1ad7a20c7df28630c4;125 Hampton Ct.;Não informado;Não informado;Não informado;10025560;2;Southern;Cramerton;US;NC;28032
06452494595ad786d97757d9e9c2c65188b9194e7b004a39f0ed6e072477b6dd;2106 South Riverside Road;Não informado;Não informado;Não informado;10007566;4;Central;St Joseph;US;MO;64507-9799
84498dc919314fbbd3232957cc346d9ee7ef71b16b9b378b6086ecff8b6d8302;16241 South Us 27;Não informado;Não informado;Não informado;10020390;4;Central;Lansing;US;MI;48906
d954736a62a6f0508321705d8c22ee5749e4e30055fcbd8a5a93c85b7ea2a995;5325 Still Creek Road;Não informado;Não informado;Não informado;10022687;0;Canada;Burnaby;CA;BC;V2X 3K6
3e4fa6b75ee04695c856579d8f534c50e54f30bc735b3df22fb816c2ec913750;100 Gasoline Alley  Suite A;Não informado;Não informado;Não informado;10021415;4;Central;Indianopolis;US;IN;46222
e94412b875888f59862a2eb675d0662d8e674da6913a709bb07cf5eb00bc7329;1760 C Airport Road;Não informado;Não informado;Não informado;10022183;1;Western;Breckenridge;US;CO;80424
38addbcbd1df87dbec956433998b9214bbdde24ef3f412116ed57db62d23a01c;Av Blandin Chacao;Não informado;Não informado;Não informado;10022201;5;International;Carcas;UK;Não informado;Não informado
cd3d90f4eaf156fd2d3fb0f8a0ff944b2f2264d5efbd5a19c9968537f06d829b;Av 6A Norte 25 N 43;Não informado;Não informado;Não informado;10012761;5;International;Cali;UK;Não informado;Não informado
82bbeac3a7294092af970d6f71c844736fe308656079b1c50ede9e64d3ee78c6;3248 Auburn Boulevard;Não informado;Não informado;Não informado;10019678;1;Western;Sacramento;US;CA;95821
2bc14730a2ec41c4cbc41d7f629f836d9226d5983059ca7f31f9fa5f33f97a99;2192 Viking Drive;Não informado;Não informado;Não informado;10015030;1;Western;Anchorage;US;AK;99501
f422a55884ce06b64c6d17a675fad1c437b10d8142f04984c89eb98ec0c147ee;Não informado;Não informado;Não informado;Não informado;10025304;5;International;Não informado;UK;Não informado;Não informado
7602cb00d4557a2815d49524b6cb8ba00041117e870b26f912cb51e7e090d116;23308 Airpark Drive;Não informado;Não informado;Não informado;10008134;3;Northeast;Petersburg;US;VA;23803
024ea9aa2aaa7e6792987ab9eb6cc1f47938b249975be7ae456311a92b7bc5ec;Memphis PDC #19;Attention   Accounts Payable;PO Box 786;Não informado;10021459;2;Southern;Olive Branch;US;MS;38654-3703
2f61b213f52fce3e25892c08dce32412dd25eecf552a16916229cc4ba6171ad1;60 Depot Street;Não informado;Não informado;Não informado;10016303;3;Northeast;Buffalo;US;NY;14206
5cebbc83c5dc5e3c97357bbdda5ed1099c6d89a5d992aae11fc859bf52d564bb;DUMEN SOK. No:3 D.9;GUMUSSUYU;Takism;Não informado;10023703;5;International;Istanbul;AU;Não informado;80090
704f4cb896e2bd66fe548e9b5859fcbb3b972b0211cec14c022bc04cf22880ba;Attention: Charlene Hoyer;500 North Morton Avenue;PO Box 474;Não informado;10027583;4;Central;Morton;US;IL;61550-0474
d73711deb9e2cbf85ed2edf68380a8d0dfcbff495edf16c2ee4bcf0fcb944b97;Attention:  Accounts Payable;5500 East Second Street 2nd Floor;Não informado;Não informado;10024003;1;Western;Benicia;US;CA;94510-1020
6b93e6c941b32388d89de1f27ad717e67322909815b10b4a2f7fa43ce3ca4bb0;3248 Auburn Boulevard;Não informado;Não informado;Não informado;10015793;1;Western;Sacramento;US;CA;95821
2c036a9f63c7fc630fd933ab1ff5b5ad22e9ce536a11d5d95ee14071737683eb;1601 East 29th Street;Não informado;Não informado;Não informado;10015275;4;Central;Marshfield;US;WI;54449
ae4b327123cdeb6a26dcab5f6ed1f42359ab18495d427afe76c8836215f4c405;PO Box 7647;Não informado;Não informado;Não informado;10023783;2;Southern;Pine Bluff;US;AR;71611-7647
5afb51470133067885a6894a18ffddf60ff5c039ded84d68bd47ba160a3e539c;13270 SE Pheasant Court;Não informado;Não informado;Não informado;10025049;1;Western;Milwaukie;US;OR;97222
71056bc90587d62aacab95e8a738a4f02c152e6534857b3c28a372096f52d48e;9605 56th Avenue;Não informado;Não informado;Não informado;10010887;0;Canada;Edmonton;CA;AB;T6E 0B2
8599efe2d874e953cefff1c2a915cff40262b168d39c99464c1760a77368ddca;1935 S Campbell;Não informado;Não informado;Não informado;10014264;4;Central;Springfield;US;MO;65898
0740f6276f342e6f500fd29d5361aea70d98f128b17eb593e8ad859d7bdb6d4d;500 Airport Drive;Não informado;Não informado;Não informado;10019909;4;Central;Shawano;US;WI;54166
efb9edae3d9a9452666ba2ecf0c8b2d8f77cc7c0c77336bb6b412eb2749a857d;703 Waverly Street;Route 135;Não informado;Não informado;10011198;3;Northeast;Framingham;US;MA;1702
564db1448f8928ed3c29d137f786cd2d5020f4ca87075e0ffa5d707e4e20102b;7216 Ritchie Highway;Não informado;Não informado;Não informado;10020388;3;Northeast;Glen Burnie;US;MD;21061
e70c0e437d4484554c51dd18a94562593d46b4ad445d5ed2af16d4e0604a30f5;Central Accounting Service;PO Box 2900;Não informado;Não informado;10025237;0;Canada;Oakville;CA;ON;L6J 5E6
1a528c05175d4bc2a4661c689eb8d4d05b2641514fceb39d59b62431ebd46323;231 Yangjae Dong;Não informado;Não informado;Não informado;10010923;5;International;Seocho-GU;AU;Não informado;137-938
08016895796311c8b17e01e8764aaf461382d1a4f583e6f529ad020ff61a3e98;Paseo Colon Calles 34-36;Não informado;Não informado;Não informado;10005043;5;International;San Jose;UK;Não informado;Não informado
5e621b32c4738bfe9f08401b8ae2dd1c1bcb244c280c1350230233b8073c8d6d;Division Of Pontiac Michigan;17575 PP-CPDC;1251 Joslyn Road Dock 4;Não informado;10024255;4;Central;Pontiac;US;MI;48340-2956
a2a6be3ef58cbaef8933c7ff43a77abd5c7b85b53105740ea9232f43ac62949c;Não informado;Não informado;Não informado;Não informado;10009633;5;International;Não informado;UK;Não informado;Não informado
8331a31159525441a2be391402d0da6eaa3599e6a4dfcab2fcd1d1208fc1500a;PO Box 840;Não informado;Não informado;Não informado;10000458;4;Central;Saginaw;US;MI;48606
161c58741b5a4e13d151c6176eecf6988e24fdc41b25aaac5ba0a922aa5c5da1;PO Box 68;Não informado;Não informado;Não informado;10027053;4;Central;Raleigh;US;IL;62977-0068
72986b23e954cdc39936c467e72b7ff3844e0ff2cbca7ef124594ae4c78f54b4;9555 Airline Highway;Não informado;Não informado;Não informado;10004302;2;Southern;Baton Rouge;US;LA;70815
ff27d8198aaa338edcfa274e2e22230a86ffdea3f4ded404ebd229330aa1b383;5702 Industry Lane Unit B1 & 2;Não informado;Não informado;Não informado;10010906;3;Northeast;Frederick;US;MD;21704
657dacba67653e73aee603a873861a8528705f74f1fdecb25873bf0314c40f14;170 Industrial Boulevard;Não informado;Não informado;Não informado;10010884;0;Canada;Boucherville;CA;QU;J4B 2X3
20cc6c484429131fc285bc1f6743f7bf56dedc62d1f6c996f5691844ad1f2b44;6029 Mechanicsville Pike;Não informado;Não informado;Não informado;10019105;3;Northeast;Mechanicsville;US;VA;23111
bd6b565bb2012610ee239663c812dd8b6b0c87b54b98c07568f55a69515b5e23;8901 Montana Avenue;Não informado;Não informado;Não informado;10017314;2;Southern;El Paso;US;TX;79925
989555c3898178391a4c1fdbdaab34b8735e2ac6a05ab679aad3f9838eb4e399;9049 Tyler Blvd.;Não informado;Não informado;Não informado;10025039;4;Central;Mentor;US;OH;44060
dd5ebc5ce241ea298fd1b7514e66f33320484fe04fe099804d9f5e7ef307802c;400 Jay Street;Não informado;Não informado;Não informado;10023003;4;Central;Coldwater;US;MI;49036
821e1c9602020de7b79d9ca16916e19749bcf487d370976475f467baa5cba1b3;PO Box 366;Não informado;Não informado;Não informado;10025287;4;Central;Brookfield;US;WI;53008
3792ae752dbecdf99dec9c158f9db19ca6afa7af078881ebe23aadf2eeb6241f;PO Box 1010;Não informado;Não informado;Não informado;10024270;1;Western;Maxwell;US;CA;95955
5b6bbc718260dae5b09daf6c5b774afb164fa03de3419a785c9a81c5e15d26f2;301 Iddings Street;PO Box 865;Não informado;Não informado;10008638;3;Northeast;Milesburg;US;PA;16853
ddf4a276a842ca2701c6891998b19e32c1bfff9c78296def081876456c41b2f4;Attention: Linda;100 Business Center Drive;Não informado;Não informado;10022470;2;Southern;Ormond Beach;US;FL;32176
cf8afd4de62c98d074378478cbb374dae7cc872a7747dee7b96bd9756de814c4;3204 W Mill Road;Não informado;Não informado;Não informado;10027050;4;Central;Milwaukie;US;WI;53209
84c4942288eff56a7952714d213614fe448f3168baa7c5ed3d8a0ec175a6c169;4345 South West Boulevard;Não informado;Não informado;Não informado;10025302;2;Southern;Tulsa;US;OK;74107
78bcee1995aff0b721ffb5ce5d7f589893a24d80a87780d35ac75a7a8bbc9dba;1023 Kansas Avenue;Não informado;Não informado;Não informado;10006846;1;Western;Modesto;US;CA;95351
9b0689ed4f268a0b475baf9888b8b7de0b83f36c587bef366a484f5c3d4b1908;Attention: Accounts Payable;PO Box 21502;Não informado;Não informado;10000480;1;Western;Phoenix;US;AZ;85036-1502
20f20d71de9d3baef65eee924ffd1fdf71ebce159cc41b7a72fa1a294ef9e4ad;PO Box 24217;Não informado;Não informado;Não informado;10022678;3;Northeast;Richmond;US;VA;23224
d004e4a5a1c5c926118986c35385fc8b16f21b6bd504f0b14e9ec64a8399d651;AV 6 DE DICIEMBRE;N47225 Y Samuel Fritz;Não informado;Não informado;10006836;5;International;Quito;UK;Não informado;Não informado
ae59e8003a26f8508bfbf27abce6c44b427cc5203db13716d582363d250a7c0a;32722 Highway 45;Não informado;Não informado;Não informado;10011521;2;Southern;Okolona;US;MS;38860
4e84117eb29e980f9fb6576636602f50ab9720d1b5d7d88fb2479e5726551ad4;PO Box 3445;Não informado;Não informado;Não informado;10020639;2;Southern;Tulsa;US;OK;74101-3445
bdf1a7e5a78cd2afde40046ce6e08a797ab374f0bdbf77b5cf246d1d601c5c23;Não informado;Não informado;Não informado;Não informado;10025239;5;International;Não informado;UK;Não informado;Não informado
866dc3b113b60d976174129a11fef2da8696942298550bbce4f2c721a8ee300f;12110 Best Place;Não informado;Não informado;Não informado;10022423;4;Central;Cincinnati;US;OH;45241
e231fdea1d6f092e8c7fad14358950676ed6f51cd630c3fb3747b31f6a814142;Chicago PDC #22;Attention  Accounts Payable;PO Box 2060;Não informado;10014533;4;Central;Aurora;US;IL;60507-2060
836b69f51886266611b8c45243560fac8924e8faab4e170d42e4fd42844d987c;PO Box 12932;Não informado;Não informado;Não informado;10018603;5;International;Dubai;UK;Não informado;Não informado
